agency,fiscal_year,approp_disc_raw,approp_mand_raw,approp_disc_net,approp_mand_net,budget_authority,total_resources,obligations_total,outlays_net,approp_precluded
NSF,2025,8348500000.0,,8325100000.0,9693600.0,8421764152.05,8817784093.94,8657276843.03,4060718152.48,-4574978000.0
NSF,2026,8114750000.0,,8114750000.0,,8249430476.0,8370755041.78,479002468.17,1125473818.7900002,-5919013700.0
USDA_RD,2016,1994410000.0,,1994566000.0,93200000.0,2321017000.0,2704108000.0,1783521000.0,1267210000.0,-1565840000.0
USDA_RD,2017,2055753000.0,,2055891000.0,100000000.0,2511923606.8,3007228841.3599997,1828961220.4899998,1214519848.17,-848004296.0
USDA_RD,2018,2132937000.0,,2132679000.0,93400000.0,2402473959.7799997,2957800992.7799997,2372381621.51,1361186778.97,-979682924.0
USDA_RD,2019,2273915000.0,,2274007000.0,145040000.0,2572015918.98,3164788624.71,2494478251.55,1338849263.2399998,-1348861922.0
USDA_RD,2020,2427230000.0,,2427322000.0,94100000.0,2707846363.06,3397737018.3999996,2697729725.98,1355920413.72,-1692940281.0
USDA_RD,2021,2567226000.0,,2567226000.0,99015000.0,2838242497.17,3574201917.71,2928215921.8,1428480887.2299998,-1743963543.0
USDA_RD,2022,2741540000.0,270000000.0,2740029374.4,372590000.0,3326050539.6400003,3993790975.51,2993506334.08,1567855300.3999999,-559866535.0
USDA_RD,2023,2880400000.0,,2880400000.0,122590000.0,3204884150.9700003,4235065713.14,3638386158.15,1693776810.24,-980097600.0
USDA_RD,2024,2905613000.0,,2868613000.0,134590000.0,3308326044.94,3952554806.56,3376721240.94,1861923494.8000002,-695792893.0
USDA_RD,2025,2905613000.0,,2868613000.0,124590000.0,3173709594.02,3779092582.03,2791005478.6599994,1866781453.3799999,-680894390.0
USDA_RD,2026,2909473000.0,,2887473000.0,412000000.0,3566867383.37,4561624849.5199995,911541092.09,560019092.75,
